Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_nmdc_to_csv_00
Sounding Number;PRE-HUD-H22b;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;BALAJI.S;;
Date:;2022-06-20 00:00:00;;
Start Time;08:56:00;;
Time at penetration;09:02:58;;
Total time taken;00:06:58;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;1.99;;
Pre-Drill:;0;;
Penetration Depth;6.1;;
Remarks;;;
Easting;235219.125;;
Northing;2702155.149;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
1.23;15.7719;0.0673;-0.0044
1.24;15.3392;0.067;-0.0041
1.25;15.160200000000001;0.06570000000000001;-0.0041
1.26;14.8856;0.06430000000000001;-0.004
1.27;14.1074;0.06380000000000001;-0.004200000000000001
1.28;12.938;0.0604;-0.0045000000000000005
1.29;12.5593;0.0587;-0.0046
1.3;13.0379;0.0579;-0.0048000000000000004
1.31;12.3346;0.057100000000000005;-0.0048000000000000004
1.32;10.7657;0.057800000000000004;-0.0048000000000000004
1.33;10.3704;0.054;-0.0049
1.34;9.269;0.050100000000000006;-0.0048000000000000004
1.35;8.7803;0.0473;-0.0048000000000000004
1.36;8.567300000000001;0.0444;-0.0048000000000000004
1.37;7.8822;0.0443;-0.0047
1.38;7.7485;0.0443;-0.0044
1.39;7.3601;0.034;-0.0044
1.4;6.9549;0.0308;-0.0043
1.41;6.7168;0.029300000000000003;-0.004200000000000001
1.42;6.2531;0.028900000000000002;-0.004200000000000001
1.43;5.9774;0.0285;-0.0041
1.44;5.9816;0.0279;-0.0041
1.45;5.6976;0.0273;-0.0041
1.46;5.4595;0.025900000000000003;-0.0041
1.47;4.9916;0.024200000000000003;-0.0041
1.48;4.7536000000000005;0.022600000000000002;-0.0041
1.49;4.707;0.022600000000000002;-0.004200000000000001
1.5;4.7453;0.022600000000000002;-0.004200000000000001
1.51;4.7836;0.022600000000000002;-0.004200000000000001
1.52;4.8624;0.023200000000000002;-0.0041
1.53;5.021;0.0245;-0.0041
1.54;5.3383;0.0246;-0.004
1.55;5.731;0.0247;-0.0041
1.56;5.405200000000001;0.0247;-0.0043
1.57;5.6809;0.024800000000000003;-0.0043
1.58;6.1612;0.024800000000000003;-0.0043
1.59;6.1362000000000005;0.024900000000000002;-0.0044
1.6;6.654100000000001;0.024900000000000002;-0.0044
1.61;6.7251;0.024900000000000002;-0.0044
1.62;6.817;0.024900000000000002;-0.0046
1.63;7.0718000000000005;0.024900000000000002;-0.0046
1.64;7.0593;0.0245;-0.0047
1.65;7.3977;0.0233;-0.0048000000000000004
1.66;7.4436;0.022000000000000002;-0.0048000000000000004
1.67;6.9507;0.0184;-0.0047
1.68;6.6207;0.0181;-0.0047
1.69;6.3993;0.018000000000000002;-0.0047
1.7;6.4077;0.0182;-0.0047
1.71;6.1612;0.0183;-0.0047
1.72;6.095400000000001;0.019;-0.0047
1.73;6.0297;0.0206;-0.0046
1.74;6.0526;0.023700000000000002;-0.0046
1.75;5.9816;0.0304;-0.0044
1.76;5.626600000000001;0.0317;-0.0044
1.77;5.7352;0.032600000000000004;-0.0043
1.78;5.3258;0.0471;-0.0043
