Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_nmdc_to_csv_00
Sounding Number;PRE-HUD-H17d;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;SHANAVAS;;
Date;2022-06-22 00:00:00;;
Start Time;21:57:00;;
Time at penetration;22:02:32;;
Total time taken;00:05:32;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;1.88;;
Pre-Drill:;0;;
Penetration Depth;7.32;;
Remarks;;;
Easting;234734.534;;
Northing;2702288.081;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.0;-0.002;0.0;0.0002
0.01;0.42410000000000003;0.0;0.0002
0.02;0.7248;0.0002;0.0002
0.03;1.2303;0.00030000000000000003;0.0002
0.04;1.9821000000000002;0.0006000000000000001;0.0002
0.05;2.5753;0.0013000000000000002;0.0002
0.06;3.9997000000000003;0.0025;0.00030000000000000003
0.07;4.8727;0.0051;0.00030000000000000003
0.08;6.3472;0.0102;0.0004
0.09;7.0406;0.0204;0.0005
0.1;7.6672;0.0188;0.0006000000000000001
0.11;9.484200000000001;0.023200000000000002;0.0007
0.12;10.422500000000001;0.024;0.001
0.13;11.363000000000001;0.026600000000000002;0.0012000000000000001
0.14;11.983;0.027800000000000002;0.0012000000000000001
0.15;13.489500000000001;0.0291;0.0013000000000000002
0.16;15.1666;0.0291;0.0016
0.17;16.627200000000002;0.0292;0.0019
0.18;16.627200000000002;0.029300000000000003;0.002
0.19;17.6052;0.0309;0.0021000000000000003
0.2;18.1919;0.035300000000000005;0.0021000000000000003
0.21;18.4666;0.044500000000000005;0.0022
0.22;18.5665;0.0516;0.0022
0.23;18.7912;0.059500000000000004;0.0023
0.24;19.015900000000002;0.0606;0.0024000000000000002
0.25;20.002200000000002;0.061700000000000005;0.0028
0.26;21.0535;0.07830000000000001;0.0032
0.27;22.4845;0.1;0.0037
0.28;23.869500000000002;0.1009;0.0037
0.29;24.7289;0.1033;0.0045000000000000005
0.3;25.6509;0.1213;0.0048000000000000004
0.31;25.6509;0.1213;0.005
0.32;26.4769;0.1227;0.0047
0.33;26.948400000000003;0.1386;0.0046
0.34;27.578300000000002;0.1361;0.004200000000000001
0.35;27.5533;0.1444;0.0022
0.36;27.624200000000002;0.1526;0.0005
0.37;27.6096;0.1507;-0.00030000000000000003
0.38;27.595000000000002;0.16110000000000002;-0.00030000000000000003
0.39;27.307100000000002;0.1686;-0.0007
0.4;27.011000000000003;0.1723;-0.0011
0.41;27.011000000000003;0.1723;-0.0011
0.42;26.9651;0.1723;-0.0012000000000000001
0.43;26.677200000000003;0.1723;-0.0012000000000000001
0.44;26.7189;0.17200000000000001;-0.0012000000000000001
0.45;25.959600000000002;0.1668;-0.0011
0.46;25.5633;0.16160000000000002;-0.0011
0.47;25.4757;0.15460000000000002;-0.0011
0.48;24.416;0.1519;-0.0009000000000000001
0.49;23.093500000000002;0.1353;-0.0009000000000000001
0.5;22.23;0.1303;-0.0008
0.51;22.23;0.1252;-0.0007
0.52;21.604200000000002;0.11900000000000001;-0.0005
0.53;21.1995;0.1173;-0.0005
0.54;19.1283;0.1078;-0.0007
0.55;18.0588;0.0927;-0.0007
0.56;17.459500000000002;0.0795;-0.0007
0.57;17.1906;0.0864;-0.0007
0.58;17.1871;0.079;-0.0007
0.59;17.186;0.079;-0.0007
0.6;17.1854;0.0708;-0.0006000000000000001
0.61;17.184900000000003;0.0627;-0.0005
0.62;17.7467;0.0639;-0.0005
0.63;16.7854;0.0613;-0.0004
0.64;16.1237;0.0613;-0.0002
0.65;15.7325;0.0613;-0.0002
0.66;15.5827;0.0614;-0.0002
0.67;15.6493;0.0616;-0.0002
0.68;15.362200000000001;0.0626;-0.0001
0.69;15.362200000000001;0.0644;0.0
0.7;15.1936;0.06620000000000001;-0.0001
0.71;15.0251;0.0713;-0.0002
0.72;14.9876;0.0765;-0.0002
0.73;14.3259;0.07690000000000001;-0.0004
0.74;13.6559;0.07730000000000001;-0.0006000000000000001
0.75;12.586400000000001;0.07740000000000001;-0.0006000000000000001
0.76;11.7542;0.07640000000000001;-0.0006000000000000001
0.77;11.038400000000001;0.0755;-0.0007
0.78;9.9521;0.07350000000000001;-0.0007
0.79;9.9521;0.0648;-0.0007
0.8;9.5511;0.0653;-0.0007
0.81;9.2169;0.0517;-0.0007
0.82;8.4024;0.054700000000000006;-0.0006000000000000001
0.83;8.277000000000001;0.0494;-0.0006000000000000001
0.84;7.399900000000001;0.0442;-0.0006000000000000001
0.85;7.1158;0.042800000000000005;-0.00030000000000000003
0.86;6.8719;0.042;-0.00030000000000000003
0.87;6.750500000000001;0.0417;-0.0002
0.88;6.692200000000001;0.0419;-0.0002
0.89;6.7358;0.042;0.0002
0.9;6.7793;0.0434;0.0005
0.91;6.8902;0.0497;0.0008
0.92;7.391500000000001;0.0626;0.0007
0.93;7.7382;0.0892;0.0007
0.94;7.426;0.1003;0.0008
0.95;7.4308000000000005;0.1105;0.0008
0.96;7.435700000000001;0.11130000000000001;0.0009000000000000001
0.97;7.4667;0.112;0.0009000000000000001
0.98;8.5486;0.113;0.001
0.99;8.5068;0.1129;0.0011
1.0;12.4616;0.1129;0.0013000000000000002
1.01;13.4396;0.11230000000000001;0.0013000000000000002
1.02;12.4366;0.10880000000000001;0.0018000000000000002
1.03;12.201500000000001;0.09290000000000001;0.002
1.04;11.9664;0.0828;0.0014
1.05;11.9123;0.0707;0.0002
1.06;12.5365;0.0678;0.0002
1.07;11.446200000000001;0.0671;0.0002
1.08;11.1674;0.0675;0.0001
1.09;11.1934;0.0679;0.0001
1.1;11.2194;0.0719;0.0001
1.11;11.2763;0.0805;0.0
1.12;11.3924;0.098;0.0
1.13;11.625200000000001;0.13290000000000002;0.0
1.14;12.0954;0.1486;0.0
1.15;13.4312;0.183;0.0
1.16;14.375900000000001;0.195;0.0
1.17;16.2319;0.21530000000000002;0.0
1.18;18.9327;0.2252;-0.0001
1.19;21.983800000000002;0.227;0.0
1.2;18.8911;0.2278;0.0
1.21;19.894000000000002;0.22360000000000002;0.0002
1.22;18.3043;0.2195;0.0006000000000000001
1.23;17.2889;0.20140000000000002;0.0013000000000000002
1.24;16.5315;0.1759;0.0013000000000000002
1.25;14.966800000000001;0.15380000000000002;0.0016
1.26;13.4437;0.1182;0.0018000000000000002
1.27;11.5794;0.1124;0.0024000000000000002
1.28;11.0634;0.09920000000000001;0.0016
1.29;10.0563;0.0887;0.0012000000000000001
1.3;9.8811;0.07010000000000001;0.0006000000000000001
1.31;9.9688;0.0653;0.0004
1.32;9.6806;0.055600000000000004;0.0002
1.33;9.3756;0.0522;0.0001
1.34;8.9078;0.0414;0.0
1.35;8.8786;0.0366;-0.0007
1.36;8.8869;0.0352;-0.0006000000000000001
1.37;8.841000000000001;0.0351;-0.0013000000000000002
1.38;8.7867;0.035;-0.0016
1.39;8.7073;0.034300000000000004;-0.0018000000000000002
1.4;8.6279;0.033600000000000005;-0.0019
1.41;8.5694;0.0302;-0.0024000000000000002
1.42;8.5653;0.0252;-0.0026000000000000003
1.43;8.5611;0.0224;-0.0026000000000000003
1.44;8.598700000000001;0.0201;-0.0027
1.45;8.536;0.0177;-0.0027
1.46;8.5318;0.017400000000000002;-0.0027
1.47;8.3606;0.016900000000000002;-0.0026000000000000003
1.48;8.252;0.0171;-0.0026000000000000003
1.49;8.1765;0.015700000000000002;-0.0024000000000000002
1.5;8.1684;0.0151;-0.0021000000000000003
1.51;8.168800000000001;0.014700000000000001;-0.0018000000000000002
1.52;8.1692;0.014700000000000001;-0.0018000000000000002
1.53;8.170300000000001;0.0148;-0.002
1.54;8.172600000000001;0.0149;-0.002
1.55;8.1768;0.0152;-0.0021000000000000003
1.56;8.189300000000001;0.0155;-0.0024000000000000002
1.57;8.1434;0.015700000000000002;-0.0026000000000000003
1.58;8.1141;0.015600000000000001;-0.0029000000000000002
1.59;8.0807;0.0162;-0.003
1.6;7.8844;0.016900000000000002;-0.0029000000000000002
1.61;7.717300000000001;0.017400000000000002;-0.0029000000000000002
1.62;7.4834000000000005;0.0183;-0.0027
1.63;7.2453;0.0194;-0.0025
1.64;7.0699000000000005;0.0213;-0.0021000000000000003
1.65;6.907;0.0235;-0.002
1.66;6.7315000000000005;0.024900000000000002;-0.0014
1.67;6.602;0.026600000000000002;-0.0006000000000000001
1.68;6.4767;0.028200000000000003;-0.0002
1.69;6.3138000000000005;0.028200000000000003;0.0001
1.7;6.176;0.028200000000000003;0.0002
1.71;6.0465;0.028200000000000003;0.0002
1.72;5.8836;0.028;0.0001
1.73;5.695600000000001;0.0274;0.0
1.74;5.5452;0.027700000000000002;-0.0001
1.75;5.4533000000000005;0.0263;-0.0002
1.76;5.3781;0.0261;-0.0002
1.77;5.2654000000000005;0.025900000000000003;-0.00030000000000000003
1.78;5.169300000000001;0.0258;-0.0004
1.79;5.0816;0.0258;-0.0004
1.8;5.0147;0.0258;-0.0005
1.81;5.0032000000000005;0.0258;-0.0006000000000000001
1.82;4.9985;0.0258;-0.0006000000000000001
1.83;4.9978;0.0258;-0.0007
1.84;4.9971000000000005;0.0258;-0.0008
1.85;4.998;0.0258;-0.0009000000000000001
1.86;4.9938;0.025900000000000003;-0.0009000000000000001
1.87;4.9813;0.025900000000000003;-0.0009000000000000001
1.88;4.9771;0.0261;-0.001
1.89;4.9771;0.0269;-0.0011
1.9;4.9604;0.027200000000000002;-0.0012000000000000001
1.91;4.8852;0.027700000000000002;-0.0012000000000000001
1.92;4.7474;0.027700000000000002;-0.0013000000000000002
1.93;4.5845;0.027700000000000002;-0.0013000000000000002
1.94;4.4132;0.027700000000000002;-0.0014
1.95;4.4132;0.027600000000000003;-0.0015
1.96;4.2211;0.0269;-0.0016
1.97;4.0289;0.0234;-0.0017000000000000001
1.98;3.8618;0.016300000000000002;-0.0017000000000000001
1.99;3.7953;0.0146;-0.0018000000000000002
2.0;3.7623;0.014400000000000001;-0.0018000000000000002
2.01;3.7470000000000003;0.013800000000000002;-0.0018000000000000002
2.02;3.7576;0.0137;-0.0019
2.03;3.7683;0.013600000000000001;-0.0019
2.04;3.7917;0.0135;-0.0019
2.05;3.8911000000000002;0.0135;-0.002
2.06;4.2796;0.013600000000000001;-0.002
2.07;4.2796;0.013600000000000001;-0.0021000000000000003
2.08;4.1793000000000005;0.013600000000000001;-0.0032
2.09;4.0791;0.013800000000000002;-0.0043
2.1;4.0707;0.0149;-0.0043
2.11;3.9997000000000003;0.0166;-0.0045000000000000005
2.12;3.7282;0.017400000000000002;-0.0045000000000000005
2.13;3.5653;0.0195;-0.0046
2.14;3.3857000000000004;0.0216;-0.0046
2.15;2.9930000000000003;0.0233;-0.0046
2.16;2.7883;0.0238;-0.0047
2.17;2.5795;0.0263;-0.0047
2.18;2.1994000000000002;0.0269;-0.0048000000000000004
2.19;2.049;0.0291;-0.0049
2.2;1.9111;0.030500000000000003;-0.0049
2.21;1.6647;0.030600000000000002;-0.0049
2.22;1.5561;0.030600000000000002;-0.005
2.23;1.3598000000000001;0.030600000000000002;-0.005
2.24;1.2846;0.030600000000000002;-0.005
2.25;1.201;0.029900000000000003;-0.0049
2.26;1.1258000000000001;0.0302;-0.0049
2.27;0.9838;0.0286;-0.0049
2.28;0.9212;0.0258;-0.0047
2.29;0.8293;0.023;-0.0046
2.3;0.8173;0.0233;-0.004
2.31;0.8192;0.016300000000000002;-0.0039000000000000003
2.32;0.8211;0.0152;-0.0039000000000000003
2.33;0.8283;0.0146;-0.0037
2.34;0.8673000000000001;0.0145;-0.0036000000000000003
2.35;0.9462;0.014400000000000001;-0.0036000000000000003
2.36;1.0799;0.014700000000000001;-0.0037
2.37;1.4308;0.015000000000000001;-0.0037
2.38;1.6062;0.016300000000000002;-0.0038
2.39;1.7106000000000001;0.019100000000000002;-0.0039000000000000003
