Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_nmdc_to_csv_00
Sounding Number;PRE-HUD-K18b;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;BALAJI.S;;
Date;2022-07-23 00:00:00;;
Start Time;15:45:00;;
Time at penetration;15:51:31;;
Total time taken;00:06:31;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;2.06;;
Pre-Drill:;0;;
Penetration Depth;7.18;;
Remarks;;;
Easting;234738.062;;
Northing;2702018.846;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.0;-0.0018000000000000002;0.0;0.0002
0.01;1.2973000000000001;0.0;0.006200000000000001
0.02;6.8821;0.00030000000000000003;0.0076
0.03;13.0319;0.0006000000000000001;0.0097
0.04;14.8338;0.0011;0.010100000000000001
0.05;15.5579;0.0022;0.010700000000000001
0.06;15.695300000000001;0.0044;0.0102
0.07;15.6204;0.0088;0.0098
0.08;16.7023;0.0177;0.009000000000000001
0.09;18.262900000000002;0.0354;0.009000000000000001
0.09999999;20.0107;0.1479;0.009000000000000001
0.11;20.9828;0.1758;0.0091
0.12;20.3612;0.18860000000000002;0.009300000000000001
0.13;21.3791;0.21480000000000002;0.0097
0.14;22.1426;0.21480000000000002;0.0092
0.15;24.441300000000002;0.2146;0.0089
0.16;25.538500000000003;0.21430000000000002;0.0089
0.17;26.9569;0.20980000000000001;0.0089
0.18;25.722;0.20040000000000002;0.009000000000000001
0.19;24.015700000000002;0.19260000000000002;0.0091
0.2;22.6307;0.1888;0.009600000000000001
0.21;22.0925;0.18730000000000002;0.0088
0.22;21.9256;0.18580000000000002;0.0086
0.23;21.3499;0.1865;0.008
0.2400001;20.657400000000003;0.1855;0.007200000000000001
0.2500001;20.4874;0.1845;0.006200000000000001
0.2600001;20.4542;0.1786;0.0056
0.27;20.500600000000002;0.1668;0.005200000000000001
0.28;20.5469;0.1633;0.005
0.29;20.6507;0.1447;0.005
0.3;21.0954;0.138;0.005
0.31;21.0787;0.13720000000000002;0.005
0.32;20.9953;0.1364;0.005
0.33;19.881700000000002;0.1351;0.0054
0.34;18.8247;0.1338;0.0059
0.35;18.233800000000002;0.1297;0.0057
0.36;18.1672;0.13;0.0054
0.3699999;17.509700000000002;0.1163;0.005
0.3799999;17.4568;0.1155;0.0049
0.3899999;17.4447;0.1087;0.0051
0.3999999;17.4392;0.1063;0.0053
0.4099999;17.444100000000002;0.1039;0.0056
0.4199999;17.448900000000002;0.0979;0.0068000000000000005
0.4299999;17.4597;0.0918;0.0071
0.4399999;17.5013;0.08900000000000001;0.007
0.4499999;17.5804;0.08900000000000001;0.006900000000000001
0.4599999;17.5763;0.0891;0.0068000000000000005
0.4699998;18.017400000000002;0.08990000000000001;0.0067
0.4799998;18.0215;0.0951;0.0067
0.4899998;17.309900000000003;0.09820000000000001;0.0067
0.4999998;17.309900000000003;0.0988;0.0063
0.5099998;16.8522;0.0984;0.006200000000000001
0.5199998;16.660700000000002;0.098;0.006200000000000001
0.5299998;16.4693;0.0969;0.0061
0.5399998;16.631600000000002;0.092;0.0061
0.5499998;16.1614;0.0906;0.0061
0.5599998;16.1614;0.0903;0.0058000000000000005
0.5699998;15.2833;0.09000000000000001;0.0049
0.5799997;14.2804;0.0854;0.0047
0.5899997;13.5396;0.08310000000000001;0.0046
0.5999997;13.314900000000002;0.0819;0.0048000000000000004
0.6099997;13.190100000000001;0.0815;0.005
0.6199997;13.164900000000001;0.0811;0.0054
0.6299997;13.153500000000001;0.0813;0.006200000000000001
